   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |       11.238551 |        0.000021 |        0.000022 |     7.790698
   600 |     1 |       15.663197 |        0.000022 |        0.000023 |     3.141928
   700 |     1 |       18.667221 |        0.000023 |        0.000025 |     6.822811
   800 |     1 |       22.075083 |        0.000025 |        0.000030 |    20.756548
   900 |     1 |       26.461531 |        0.000028 |        0.000031 |     9.710392
  1000 |     1 |       30.842768 |        0.000030 |        0.000032 |     9.040000
  1100 |     1 |       34.360333 |        0.000034 |        0.000035 |     5.049787
  1200 |     1 |       38.472080 |        0.000037 |        0.000037 |     1.298701
  1300 |     1 |       41.432408 |        0.000040 |        0.000041 |     1.554094
  1400 |     1 |       42.101123 |        0.000043 |        0.000046 |     9.141895
  1500 |     1 |       43.795939 |        0.000049 |        0.000051 |     3.439923
  1600 |     1 |       48.022563 |        0.000052 |        0.000053 |     1.922197
  1700 |     1 |       49.877444 |        0.000056 |        0.000057 |     2.512777
  1800 |     1 |       52.910486 |        0.000060 |        0.000061 |     1.515152
  1900 |     1 |       55.571696 |        0.000064 |        0.000064 |     1.085329
  2000 |     1 |       57.690215 |        0.000067 |        0.000068 |     1.310662
  2100 |     1 |       59.987248 |        0.000073 |        0.000074 |     1.381125
  2200 |     1 |       61.267471 |        0.000077 |        0.000078 |     0.647748
  2300 |     1 |       62.742413 |        0.000082 |        0.000083 |     0.726744
  2400 |     1 |       65.463000 |        0.000085 |        0.000087 |     2.586449
  2500 |     1 |       66.646827 |        0.000092 |        0.000093 |     0.645161
  2600 |     1 |       67.632821 |        0.000098 |        0.000099 |     1.338199
  2700 |     1 |       69.795677 |        0.000103 |        0.000103 |     0.300370
  2800 |     1 |       71.535029 |        0.000108 |        0.000109 |     0.395952
  2900 |     1 |       72.544270 |        0.000114 |        0.000115 |     0.879213
  3000 |     1 |       73.748056 |        0.000120 |        0.000121 |     1.093657
   500 |     2 |       32.910956 |        0.000021 |        0.000023 |     8.587570
   600 |     2 |       45.067724 |        0.000022 |        0.000024 |     5.832449
   700 |     2 |       53.882752 |        0.000025 |        0.000027 |     8.949416
   800 |     2 |       63.774761 |        0.000027 |        0.000030 |    14.349775
   900 |     2 |       74.591400 |        0.000031 |        0.000032 |     6.152648
  1000 |     2 |       85.191552 |        0.000034 |        0.000035 |     2.657343
  1100 |     2 |       95.670371 |        0.000037 |        0.000038 |     1.537476
  1200 |     2 |      107.118334 |        0.000040 |        0.000040 |     0.774732
  1300 |     2 |       99.078406 |        0.000043 |        0.000051 |    17.023613
  1400 |     2 |      112.439923 |        0.000050 |        0.000051 |     2.388916
  1500 |     2 |      123.880821 |        0.000052 |        0.000055 |     3.996367
  1600 |     2 |      131.146152 |        0.000057 |        0.000058 |     1.750729
  1700 |     2 |      136.620418 |        0.000062 |        0.000063 |     2.430556
  1800 |     2 |      143.272697 |        0.000066 |        0.000067 |     1.989870
  1900 |     2 |      149.344286 |        0.000071 |        0.000072 |     1.272606
  2000 |     2 |      156.898260 |        0.000076 |        0.000076 |     0.376412
  2100 |     2 |      158.807396 |        0.000081 |        0.000082 |     1.347393
  2200 |     2 |      163.303808 |        0.000087 |        0.000087 |     0.465371
  2300 |     2 |      169.172992 |        0.000092 |        0.000093 |     1.087238
  2400 |     2 |      174.368926 |        0.000097 |        0.000098 |     1.451772
  2500 |     2 |      175.974879 |        0.000105 |        0.000106 |     0.566508
  2600 |     2 |      180.197076 |        0.000111 |        0.000112 |     0.622852
  2700 |     2 |      183.091335 |        0.000118 |        0.000118 |     0.262892
  2800 |     2 |      186.637222 |        0.000124 |        0.000125 |     0.964506
  2900 |     2 |      189.891265 |        0.000130 |        0.000132 |     1.225984
  3000 |     2 |      192.469151 |        0.000138 |        0.000139 |     0.673343
   500 |     3 |       53.322120 |        0.000022 |        0.000023 |     5.579869
   600 |     3 |       73.578990 |        0.000024 |        0.000024 |     3.346856
   700 |     3 |       83.423169 |        0.000026 |        0.000030 |    17.495396
   800 |     3 |      102.490583 |        0.000029 |        0.000031 |     7.976974
   900 |     3 |      111.274921 |        0.000033 |        0.000034 |     2.419929
  1000 |     3 |      125.605462 |        0.000037 |        0.000038 |     2.469136
  1100 |     3 |      148.300356 |        0.000040 |        0.000040 |     1.437126
  1200 |     3 |      144.320769 |        0.000043 |        0.000051 |    17.070484
  1300 |     3 |      164.434838 |        0.000050 |        0.000051 |     1.994302
  1400 |     3 |      174.203137 |        0.000053 |        0.000055 |     4.146012
  1500 |     3 |      188.131448 |        0.000058 |        0.000059 |     2.943615
  1600 |     3 |      202.145938 |        0.000062 |        0.000063 |     2.588872
  1700 |     3 |      207.241481 |        0.000069 |        0.000070 |     1.459854
  1800 |     3 |      217.411263 |        0.000073 |        0.000074 |     0.975927
  1900 |     3 |      225.976906 |        0.000077 |        0.000079 |     3.004026
  2000 |     3 |      235.347411 |        0.000084 |        0.000085 |     1.653835
  2100 |     3 |      240.764115 |        0.000090 |        0.000091 |     1.913876
  2200 |     3 |      249.523030 |        0.000096 |        0.000097 |     1.345291
  2300 |     3 |      254.032976 |        0.000103 |        0.000103 |     0.696541
  2400 |     3 |      262.970174 |        0.000107 |        0.000110 |     2.132859
  2500 |     3 |      263.277881 |        0.000118 |        0.000118 |     0.262467
  2600 |     3 |      268.634123 |        0.000125 |        0.000125 |     0.171657
  2700 |     3 |      271.701961 |        0.000132 |        0.000133 |     0.831526
  2800 |     3 |      277.692722 |        0.000140 |        0.000141 |     0.768968
  2900 |     3 |      281.704814 |        0.000148 |        0.000149 |     0.742534
  3000 |     3 |      285.300788 |        0.000155 |        0.000157 |     0.766636
   500 |     4 |       73.258796 |        0.000023 |        0.000024 |     5.826271
   600 |     4 |       90.638512 |        0.000024 |        0.000026 |     6.759443
   700 |     4 |      113.945948 |        0.000026 |        0.000030 |    14.814815
   800 |     4 |      129.776906 |        0.000032 |        0.000032 |     2.481203
   900 |     4 |      143.408813 |        0.000036 |        0.000039 |     6.671070
  1000 |     4 |      169.420249 |        0.000039 |        0.000040 |     4.385423
  1100 |     4 |      169.383867 |        0.000042 |        0.000051 |    20.621469
  1200 |     4 |      198.249793 |        0.000050 |        0.000051 |     1.045131
  1300 |     4 |      216.909166 |        0.000054 |        0.000055 |     1.868327
  1400 |     4 |      227.462138 |        0.000058 |        0.000059 |     1.887567
  1500 |     4 |      247.632500 |        0.000062 |        0.000064 |     1.755055
  1600 |     4 |      259.479028 |        0.000068 |        0.000069 |     1.338499
  1700 |     4 |      268.195726 |        0.000074 |        0.000075 |     1.606684
  1800 |     4 |      281.939862 |        0.000080 |        0.000080 |     0.989505
  1900 |     4 |      288.757209 |        0.000086 |        0.000087 |     1.643454
  2000 |     4 |      298.060219 |        0.000092 |        0.000093 |     1.093181
  2100 |     4 |      309.100606 |        0.000097 |        0.000100 |     3.226601
  2200 |     4 |      315.353013 |        0.000106 |        0.000107 |     0.742240
  2300 |     4 |      321.903308 |        0.000112 |        0.000114 |     2.068671
  2400 |     4 |      331.947656 |        0.000120 |        0.000121 |     1.011704
  2500 |     4 |      329.165127 |        0.000131 |        0.000131 |     0.236794
  2600 |     4 |      336.014581 |        0.000137 |        0.000139 |     1.461887
  2700 |     4 |      344.907658 |        0.000147 |        0.000148 |     0.275170
  2800 |     4 |      349.012242 |        0.000156 |        0.000156 |     0.122418
  2900 |     4 |      354.141517 |        0.000164 |        0.000165 |     0.609137
  3000 |     4 |      360.886996 |        0.000173 |        0.000174 |     0.632476
   500 |     5 |       93.359383 |        0.000023 |        0.000024 |     6.092437
   600 |     5 |      112.618920 |        0.000025 |        0.000030 |    22.211538
   700 |     5 |      140.183823 |        0.000028 |        0.000031 |    12.650602
   800 |     5 |      172.826376 |        0.000031 |        0.000033 |     6.397563
   900 |     5 |      186.194443 |        0.000037 |        0.000038 |     1.913265
  1000 |     5 |      209.229871 |        0.000041 |        0.000042 |     2.220923
  1100 |     5 |      215.826520 |        0.000044 |        0.000051 |    15.467820
  1200 |     5 |      241.573289 |        0.000053 |        0.000054 |     1.077199
  1300 |     5 |      263.031761 |        0.000057 |        0.000058 |     1.888376
  1400 |     5 |      277.907041 |        0.000062 |        0.000063 |     1.643103
  1500 |     5 |      294.936816 |        0.000068 |        0.000068 |     0.776014
  1600 |     5 |      308.923750 |        0.000073 |        0.000074 |     1.241019
  1700 |     5 |      320.961816 |        0.000080 |        0.000081 |     1.250000
  1800 |     5 |      330.695100 |        0.000087 |        0.000087 |     0.247525
  1900 |     5 |      344.118908 |        0.000093 |        0.000094 |     0.537772
  2000 |     5 |      354.579868 |        0.000100 |        0.000101 |     0.810682
  2100 |     5 |      363.984553 |        0.000107 |        0.000109 |     1.577427
  2200 |     5 |      372.766297 |        0.000115 |        0.000117 |     1.556017
  2300 |     5 |      378.330254 |        0.000125 |        0.000125 |     0.325546
  2400 |     5 |      387.586081 |        0.000132 |        0.000133 |     0.397399
  2500 |     5 |      389.774809 |        0.000143 |        0.000144 |     0.349883
  2600 |     5 |      395.905162 |        0.000152 |        0.000152 |     0.329567
  2700 |     5 |      404.631278 |        0.000161 |        0.000162 |     0.816024
  2800 |     5 |      411.145590 |        0.000170 |        0.000171 |     0.587988
  2900 |     5 |      414.122104 |        0.000180 |        0.000182 |     1.218543
  3000 |     5 |      420.633639 |        0.000191 |        0.000192 |     0.561097
   500 |     6 |       99.592862 |        0.000023 |        0.000030 |    29.153925
   600 |     6 |      136.278846 |        0.000026 |        0.000030 |    16.358595
   700 |     6 |      169.358778 |        0.000029 |        0.000032 |    11.926605
   800 |     6 |      195.531937 |        0.000035 |        0.000035 |     1.718213
   900 |     6 |      215.242128 |        0.000039 |        0.000040 |     3.789731
  1000 |     6 |      216.404826 |        0.000044 |        0.000051 |    16.657595
  1100 |     6 |      254.641442 |        0.000051 |        0.000052 |     0.972222
  1200 |     6 |      277.361374 |        0.000056 |        0.000057 |     2.147766
  1300 |     6 |      301.151573 |        0.000061 |        0.000061 |     1.180638
  1400 |     6 |      317.413026 |        0.000065 |        0.000067 |     3.062340
  1500 |     6 |      341.329958 |        0.000072 |        0.000073 |     1.265401
  1600 |     6 |      351.519514 |        0.000078 |        0.000079 |     1.161369
  1700 |     6 |      367.102506 |        0.000086 |        0.000086 |     1.030354
  1800 |     6 |      369.426497 |        0.000092 |        0.000093 |     1.057792
  1900 |     6 |      390.866409 |        0.000100 |        0.000101 |     1.002387
